standard_name,units,long_name,out_name
mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,mol m-3,Detrital Organic Carbon Concentration,detoc
mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,mol m-3,Calcite Concentration,calc
mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,mol m-3,Aragonite Concentration,arag
mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,phydiat
mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,phydiaz
mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,phycalc
mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,phypico
mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,phymisc
mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,zmicro
mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,zmeso
mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,zmisc
sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,Total Alkalinity,talk
sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,mol m-3,Natural Total Alkalinity,talknat
sea_water_ph_reported_on_total_scale,1,pH,ph
sea_water_ph_natural_analogue_reported_on_total_scale,1,Natural pH,phnat
sea_water_ph_abiotic_analogue_reported_on_total_scale,1,Abiotic pH,phabio
mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Dissolved Oxygen Concentration,o2
mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,mol m-3,Dissolved Oxygen Concentration at Saturation,o2sat
mole_concentration_of_nitrate_in_sea_water,mol m-3,Dissolved Nitrate Concentration,no3
mole_concentration_of_ammonium_in_sea_water,mol m-3,Dissolved Ammonium Concentration,nh4
mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Total Dissolved Inorganic Phosphorus Concentration,po4
mole_concentration_of_dissolved_iron_in_sea_water,mol m-3,Dissolved Iron Concentration,dfe
mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,mol m-3,Total Dissolved Inorganic Silicon Concentration,si
mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,chl
mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,chldiat
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,chldiaz
mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,chlcalc
mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,chlpico
mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,chlmisc
mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,mol m-3,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,pon
mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,mol m-3,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,pop
mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,mol m-3,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,bfe
mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,mol m-3,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,bsi
mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,mol m-3,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,phyn
mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,mol m-3,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,phyp
mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,mol m-3,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,phyfe
mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,mol m-3,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,physi
mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,mol m-3,Carbonate Ion Concentration,co3
mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,mol m-3,Natural Carbonate Ion Concentration,co3nat
mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,mol m-3,Abiotic Carbonate Ion Concentration,co3abio
mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,mol m-3,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,co3satcalc
mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,mol m-3,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,co3satarag
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,mol m-3 s-1,Primary Carbon Production by Phytoplankton,pp
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,mol m-3 s-1,Primary Carbon Production by Phytoplankton,ppos
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_nitrate_utilization,mol m-3 s-1,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,pnitrate
tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production,mol m-3 s-1,Biogenic Iron Production,pbfe
tendency_of_mole_concentration_of_silicon_in_sea_water_due_to_biological_production,mol m-3 s-1,Biogenic Silicon Production,pbsi
tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_biological_production,mol m-3 s-1,Calcite Production,pcalc
tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_biological_production,mol m-3 s-1,Aragonite Production,parag
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_remineralization,mol m-3 s-1,Remineralization of Organic Carbon,remoc
tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_dissolution,mol m-3 s-1,Calcite Dissolution,dcalc
tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution,mol m-3 s-1,Aragonite Dissolution,darag
tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes,mol m-3 s-1,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,bddtdic
tendency_of_mole_concentration_of_dissolved_inorganic_nitrogen_in_sea_water_due_to_biological_processes,mol m-3 s-1,Rate of Change of Nitrogen Nutrient Due to Biological Activity,bddtdin
tendency_of_mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water_due_to_biological_processes,mol m-3 s-1,Rate of Change of Dissolved Phosphorus Due to Biological Activity,bddtdip
tendency_of_mole_concentration_of_dissolved_inorganic_iron_in_sea_water_due_to_biological_processes,mol m-3 s-1,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,bddtdife
tendency_of_mole_concentration_of_dissolved_inorganic_silicon_in_sea_water_due_to_biological_processes,mol m-3 s-1,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,bddtdisi
tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,mol m-3 s-1,Rate of Change of Alkalinity Due to Biological Activity,bddtalk
tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_scavenging_by_inorganic_particles,mol m-3 s-1,Non-Biogenic Iron Scavenging,fescav
tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_dissolution_from_inorganic_particles,mol m-3 s-1,Particulate Source of Dissolved Iron,fediss
fraction_of_time_with_sea_ice_area_fraction_above_threshold,1,Fraction of Time Steps with Sea Ice,sitimefrac
sea_ice_area_fraction,%,Sea-Ice Area Percentage (Ocean Grid),siconc
sea_ice_area_fraction,%,Sea-Ice Area Percentage (Atmospheric Grid),siconca
sea_ice_thickness,m,Sea Ice Thickness,sithick
surface_snow_thickness,m,Snow Thickness,sisnthick
sea_ice_surface_temperature,K,Surface Temperature of Sea Ice,sitemptop
sea_ice_x_velocity,m s-1,X-Component of Sea-Ice Velocity,siu
sea_ice_y_velocity,m s-1,Y-Component of Sea-Ice Velocity,siv
sea_ice_speed,m s-1,Sea-Ice Speed,sispeed
sea_ice_amount,kg m-2,Sea-Ice Mass per Area,simass
sea_ice_thickness,m,Sea-Ice Volume per Area,sivol
surface_snow_area_fraction,%,Snow Area Percentage,sisnconc
liquid_water_content_of_surface_snow,kg m-2,Snow Mass per Area,sisnmass
sea_ice_area_fraction,%,Sea-Ice Area Percentages in Thickness Categories,siitdconc
sea_ice_thickness,m,Sea-Ice Thickness in Thickness Categories,siitdthick
surface_snow_area_fraction,%,Snow Area Percentages in Ice Thickness Categories,siitdsnconc
surface_snow_thickness,m,Snow Thickness in Ice Thickness Categories,siitdsnthick
sea_ice_surface_temperature,K,Temperature at Snow-Ice Interface,sitempsnic
sea_ice_basal_temperature,K,Temperature at Ice-Ocean Interface,sitempbot
age_of_sea_ice,s,Age of Sea Ice,siage
sea_ice_mass_content_of_salt,kg m-2,Mass of Salt in Sea Ice per Area,sisaltmass
area_fraction,%,Percentage Cover of Sea Ice by Meltpond,simpconc
sea_ice_melt_pond_thickness,m,Meltpond Mass per Unit Area (as Depth),simpmass
thickness_of_ice_on_sea_ice_melt_pond,m,Thickness of Refrozen Ice on Melt Pond,simprefrozen
area_fraction,1,Percentage Cover of Sea Ice by Ridging,sirdgconc
